,UniqNO,articleurl,status
17,20,https://www.breitbart.com/politics/2019/04/09/nolte-scientists-prove-man-made-global-warming-is-a-hoax/,s
18,21,https://www.dailymail.co.uk/news/article-3974846/Stunning-new-data-indicates-El-Nino-drove-record-highs-global-temperatures-suggesting-rise-not-man-emissions.html,s
19,22,https://www.washingtontimes.com/news/2015/aug/23/tom-harris-global-warming-deceptive-temperature-re/,s
20,23,https://www.breitbart.com/politics/2017/07/09/delingpole-nearly-all-recent-global-warming-is-fabricated-study-finds/,s
21,24,https://www.wsj.com/articles/the-climate-snow-job-1453664732,s
22,25,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/#f20d4c055391,s
23,26,https://www.wsj.com/articles/the-sea-is-rising-but-not-because-of-climate-change-1526423254,s
24,27,https://www.forbes.com/sites/realspin/2016/10/25/hillary-clinton-boards-the-climate-crisis-train-to-nowhere/#73a8afcf371e,s
25,28,https://www.forbes.com/sites/robertbradley/2016/09/23/climate-exaggeration-is-backfiring/#145d6b696ab0,s
26,29,https://www.dailywire.com/news/climate-scientists-climate-models-have-james-barrett,s
27,30,https://financialpost.com/opinion/polar-bears-keep-thriving-even-as-global-warming-alarmists-keep-pretending-theyre-dying,s
28,31,https://www.wsj.com/articles/bjorn-lomborg-the-alarming-thing-about-climate-alarmism-1422832462,s
29,32,https://www.wsj.com/articles/climate-change-isnt-the-end-of-the-world-1501446277,s
30,33,https://www.dailywire.com/news/scientists-we-know-what-really-causes-climate-james-barrett,s
31,34,https://www.wsj.com/articles/your-complete-guide-to-the-climate-debate-1448656890,s
32,35,https://www.usatoday.com/story/opinion/2018/09/14/hurricane-florence-climate-change-global-warming-weather-greenhouse-flood-column/1289272002/,s
33,37,https://www.telegraph.co.uk/news/2016/05/05/no-one-ever-says-it-but-in-many-ways-global-warming-will-be-a-go/,s
34,38,"https://www.telegraph.co.uk/news/science/11733369/Earth-heading-for-mini-ice-age-within-15-years.html#:~:text=The%20earth%20is%2015%20years,produces%20%22unprecedentedly%20accurate%20predictions%22.",s
35,39,https://www.independent.co.uk/news/science/climate-change-emergency-jet-stream-shift-warning-global-warning-extreme-weather-a7111661.html,s
36,40,https://www.iflscience.com/environment/new-report-warns-high-likelihood-of-human-civilization-coming-to-an-end-within-30-years/,s
37,41,https://www.theguardian.com/environment/2016/sep/30/james-lovelock-interview-by-end-of-century-robots-will-have-taken-over,s
38,42,https://www.breitbart.com/local/2017/12/09/jerry-brown-blames-climate-change-california-fires-new-normal/,s
39,43,https://www.wsj.com/articles/an-overheated-climate-alarm-1459984226,s
40,44,https://www.theaustralian.com.au/nation/health-science/not-all-scientists-agree-on-cause-of-great-barrier-reef-damage/news-story/1960ad7d2010e9f2194e32889ed99260,s
41,45,https://www.wsj.com/articles/about-those-non-disappearing-pacific-islands-1476400840,s
42,46,https://financialpost.com/opinion/ross-mckitrick-this-scientist-proved-climate-change-isnt-causing-extreme-weather-so-politicians-attacked/wcm/de817ee4-10e5-4324-a85e-59325af951c9/,s
43,47,https://financialpost.com/opinion/ross-mckitrick-all-those-warming-climate-predictions-suddenly-have-a-big-new-problem,s
44,48,https://www.independent.co.uk/news/science/climate-change-worse-water-temperature-reading-scientists-global-warming-ice-melt-weather-a8020696.html,s
45,49,https://nymag.com/tags/the-uninhabitable-earth/,s
46,50,https://www.theguardian.com/environment/2016/aug/21/arctic-will-be-ice-free-in-summer-next-year,s
47,51,https://dailycaller.com/2017/11/29/study-satellites-show-no-acceleration-in-global-warming-for-23-years/,s
48,52,"https://www.nytimes.com/2017/01/18/science/earth-highest-temperature-record.html#:~:text=Marking%20another%20milestone%20for%20a,beat%20one%20set%20in%202014.",s
49,53,https://futurism.com/scientists-announce-that-the-great-barrier-reef-is-officially-terminal,s
50,54,https://www.sciencemag.org/news/2018/05/republican-lawmaker-rocks-tumbling-ocean-causing-sea-level-rise,s
51,55,https://www.businessinsider.com.au/carbon-dioxide-record-human-health-effects-2018-5,s
52,56,https://www.dailymail.co.uk/sciencetech/article-5916967/Global-warming-blame-heat-records-worldwide-experts-warn-heatwave-continue.html,s
53,57,https://archive.thinkprogress.org/alaskas-vicious-cycle-warming-tundra-spews-co2-speeding-up-warming-8cf7aec95fc7/,s
54,58,https://www.theatlantic.com/health/archive/2017/08/if-everyone-ate-beans-instead-of-beef/535536/,s
55,59,https://www.nationalgeographic.com/news/2017/12/polar-bear-starving-arctic-sea-ice-melt-climate-change-spd/,s
56,60,https://www.theguardian.com/cities/ng-interactive/2017/nov/03/three-degree-world-cities-drowned-global-warming,s
57,61,https://www.washingtonpost.com/news/energy-environment/wp/2016/06/27/its-official-humans-are-making-the-earth-much-greener/,s
58,62,https://www.theguardian.com/environment/2016/dec/19/arctic-ice-melt-already-affecting-weather-patterns-where-you-live-right-now,s
59,63,"https://www.theguardian.com/environment/2018/oct/04/climate-change-deforestation-global-warming-report#:~:text=Scientists%20say%20halting%20deforestation%20'just%20as%20urgent'%20as%20reducing%20emissions,-This%20article%20is&text=By%20protecting%20and%20restoring%20forests,countries%2C%20said%20in%20a%20statement.",s
60,64,"https://www.bbc.com/news/science-environment-41653511#:~:text=All%20sea%20life%20will%20be,major%20new%20report%20will%20say.&text=Ocean%20acidification%20is%20happening%20because,the%20pH%20of%20the%20water.",s
61,65,https://www.iflscience.com/environment/the-sea-level-around-florida-is-rising-six-times-faster-than-average/,s
62,66,https://www.latimes.com/local/lanow/la-me-record-rains-20170410-story.html,s
63,67,https://www.usatoday.com/story/news/2018/07/06/global-warming-double-what-models-predict-study/760748002/,s
64,68,https://grist.org/article/antarctica-doomsday-glaciers-could-flood-coastal-cities/,s
65,69,https://www.cnn.com/2015/05/05/opinions/sutter-sea-level-climate/index.html,s
66,71,https://www.nytimes.com/2017/02/14/opinion/what-californias-dam-crisis-says-about-the-changing-climate.html,s
67,72,"https://www.nytimes.com/interactive/2017/06/22/climate/95-degree-day-maps.html#:~:text=Things%20could%20get%20worse%20if%20countries%20fail%20to%20take%20action&text=By%202100%2C%20Washington%20could%20swelter,for%20most%20of%20the%20year.",s
68,73,https://www.forbes.com/sites/matthewfrancis/2015/07/28/even-without-drastic-predictions-coasts-are-in-danger/#53ddd2f67d0e,s
69,74,"https://www.bbc.com/news/science-environment-45775309#:~:text=It's%20the%20final%20call%2C%20say,track%2C%20heading%20instead%20towards%203C.",s
70,75,https://www.washingtonpost.com/energy-environment/2018/10/31/startling-new-research-finds-large-buildup-heat-oceans-suggesting-faster-rate-global-warming/,s
71,76,https://www.theguardian.com/environment/2018/aug/06/domino-effect-of-climate-events-could-push-earth-into-a-hothouse-state,s
72,77,https://www.nytimes.com/interactive/2018/05/24/climate/dry-rio-grande.html,s
73,78,https://archive.thinkprogress.org/no-el-nino-still-hot-39162a5cc5bc/,s
74,79,https://mashable.com/2016/04/29/great-barrier-reef-perish-2030/,s
75,80,https://www.theguardian.com/environment/2018/oct/10/huge-reduction-in-meat-eating-essential-to-avoid-climate-breakdown,s
76,81,https://www.forbes.com/sites/trevornace/2017/08/03/global-ocean-circulation-appears-to-be-collapsing-due-to-a-warming-planet/#252c77faf6f4,s
77,82,https://www.nytimes.com/interactive/2017/05/18/climate/antarctica-ice-melt-climate-change.html,s
78,83,https://www.theguardian.com/world/2018/aug/21/arctics-strongest-sea-ice-breaks-up-for-first-time-on-record,s
79,84,https://www.theatlantic.com/science/archive/2017/06/global-warming-american-south/532200/,s
80,85,https://www.washingtonpost.com/news/energy-environment/wp/2017/03/27/one-of-the-most-troubling-ideas-about-climate-change-just-found-new-evidence-in-its-favor/,s
81,86,https://www.theguardian.com/environment/2016/aug/02/environment-climate-change-records-broken-international-report,s
82,87,https://www.theguardian.com/environment/2016/aug/16/louisiana-flooding-natural-disaster-weather-climate-change,s
83,88,https://mashable.com/2015/10/05/south-carolina-floods-global-warming/,s
84,89,https://mashable.com/2017/02/23/february-heat-records/,s
85,90,https://www.nytimes.com/2015/01/17/science/earth/2014-was-hottest-year-on-record-surpassing-2010.html,s
86,91,https://fox2now.com/news/nasa-releases-time-lapse-of-the-disappearing-arctic-polar-ice-cap/,s
87,92,https://www.washingtonpost.com/news/energy-environment/wp/2018/06/13/antarctic-ice-loss-has-tripled-in-a-decade-if-that-continues-we-are-in-serious-trouble/,s
88,93,https://www.nytimes.com/2017/03/22/climate/arctic-winter-sea-ice-record-low-global-warming.html,s
89,94,https://www.nytimes.com/interactive/2017/climate/what-is-climate-change.html,s
90,95,https://www.usatoday.com/story/weather/2017/02/08/sea-ice-record-low-arctic-antarctic/97646824/,s
91,96,"https://www.theguardian.com/environment/2017/mar/21/record-breaking-climate-change-world-uncharted-territory#:~:text=Record%2Dbreaking%20climate%20change%20pushes%20world%20into%20'uncharted%20territory',-This%20article%20is&text=The%20record%2Dbreaking%20heat%20that,to%20the%20World%20Meteorological%20Organisation.",s
92,97,https://mashable.com/2015/03/16/vanuatu-cyclone-pam-global-warming/,s
93,98,"https://www.npr.org/2018/07/23/630181622/spring-is-springing-sooner-throwing-natures-rhythms-out-of-whack#:~:text=Live%20Sessions-,Spring%20Is%20Springing%20Sooner%2C%20Throwing%20Nature's%20Rhythms%20Out%20Of%20Whack,tracking%20the%20impact%20for%20decades.",s
94,99,https://www.theatlantic.com/science/archive/2017/08/did-climate-change-intensify-hurricane-harvey/538158/,s
95,100,https://mashable.com/2015/10/23/hurricane-patricia-global-warming/,s
96,101,https://www.nytimes.com/2018/10/07/climate/ipcc-climate-report-2040.html,s
97,102,https://www.cnn.com/2018/10/07/world/climate-change-new-ipcc-report-wxc/index.html,s
98,103,https://www.cnn.com/2018/02/12/world/sea-level-rise-accelerating/index.html,s
99,104,https://www.washingtonpost.com/news/energy-environment/wp/2016/03/21/what-were-doing-to-the-earth-has-no-parallel-in-66-million-years-scientists-say/,s
100,105,https://www.usatoday.com/story/tech/sciencefair/2016/11/28/great-barrier-reef-australia-coral-die-off/94554934/,s
101,106,https://www.nytimes.com/interactive/2017/08/23/climate/alaska-permafrost-thawing.html,s
102,107,https://www.theguardian.com/environment/2016/sep/21/greenlands-huge-annual-ice-loss-is-even-worse-than-thought,s
103,108,"https://www.nytimes.com/interactive/2017/06/09/climate/antarctica-rift-update.html#:~:text=Size%20of%20Delaware-,Just,From%20Antarctica&text=A%20crack%20more%20than%20120,iceberg%20had%20finally%20broken%20free.",s
104,109,https://www.nytimes.com/2016/09/04/science/flooding-of-coast-caused-by-global-warming-has-already-begun.html,s
105,110,https://www.washingtonpost.com/news/energy-environment/wp/2016/07/21/what-science-can-tell-us-about-the-links-between-global-warming-and-massive-heat-waves/,s
106,111,https://www.washingtonpost.com/news/energy-environment/wp/2016/01/13/scientists-say-humans-have-basically-canceled-the-next-ice-age/,s
107,112,https://www.independent.co.uk/news/world/june-hottest-month-ever-earth-2019-weather-heatwave-hot-a8984691.html,s
108,113,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,s
109,114,https://www.vox.com/2015/8/17/9164499/el-nino-2015,s
110,115,https://www.bbc.com/future/article/20170403-miamis-fight-against-sea-level-rise,s
111,116,https://www.nytimes.com/2016/02/23/science/sea-level-rise-global-warming-climate-change.html,s
112,117,https://www.nationalgeographic.com/news/2018/06/hurricanes-cyclones-move-slower-drop-more-rain-climate-change-science/,s
113,118,https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html,s
114,119,https://www.washingtonpost.com/news/energy-environment/wp/2017/01/18/u-s-scientists-officially-declare-2016-the-hottest-year-on-record-that-makes-three-in-a-row/,s
115,120,https://www.nytimes.com/2016/01/21/science/earth/2015-hottest-year-global-warming.html,s
116,121,https://www.washingtonpost.com/news/capital-weather-gang/wp/2018/02/26/north-pole-surges-above-freezing-in-the-dead-of-winter-stunning-scientists/,s
117,122,https://www.washingtonpost.com/news/energy-environment/wp/2018/03/19/the-arctics-carbon-bomb-might-be-even-more-potent-than-we-thought/,s
118,123,https://www.bloomberg.com/graphics/2017-arctic/,s
119,124,https://www.theatlantic.com/science/archive/2017/09/why-is-2017-so-bad-for-wildfires-climate-change/539130/,s
120,125,https://www.usatoday.com/story/news/world/2018/05/17/global-warming-april-400th-consecutive-warm-month/618484002/,s
121,126,https://www.washingtonpost.com/news/energy-environment/wp/2017/02/15/its-official-the-oceans-are-losing-oxygen-posing-growing-threats-to-marine-life/,s
122,127,https://www.cnn.com/2016/11/18/world/sea-ice-arctic-antarctic-lows/index.html,s
123,128,https://www.washingtonexaminer.com/opinion/op-eds/the-great-failure-of-the-climate-models,s
124,129,https://clintel.nl/wp-content/uploads/2020/02/SA_Guus-Berkhout_essay-2020-feb.pdf,s
